Company Name,Size,Role,Technology,Requirements,Salary,Link,
Agoda,Large,Principal Engineer,"Full-stack software engineering, cloud technologies, microservices, leadership","Experience with Java (Spring/MVC), NoSQL & relational databases, Cloud Native tech (AWS, Google Cloud, Azure), DevSecOps practices; focus on accessibility, security, and performance; proven ability in technical leadership and mentoring; requires SC clearance",,Full Stack Engineer | Accenture UK & Ireland | LinkedIn,
Agoda,Medium,Senior Backend Engineer,"Java, Ember.js","Cloud, Finance, Agile Methodologies",Competitive Salary + Benefits,Sr. Backend Software Engineer | Addepar | LinkedIn,
Agoda,Large,Senior,Full stack development for travel booking platforms,"Experience in React, Angular, or VueJS; TypeScript, CI/CD, and agile methodologies; relocating to Bangkok for high-impact role on global products",,Senior Full Stack Software Engineer (Bangkok based – Relocation provided) | Agoda | LinkedIn,
Amazon,Large,Senior,"Backend engineering on scalable, fault-tolerant travel systems","Skills in Scala, Java, Kotlin, CI/CD pipelines, and cloud data technologies; relocating to Bangkok to drive mission-critical projects with global reach",,Senior Software Engineer – Back End (Bangkok based – Relocation provided) | Agoda | LinkedIn,
Amazon,Large,Senior,Full Stack,"React, TypeScript, Agile, CI/CD",,https://www.linkedin.com/jobs/view/4021554558/?eBP=NON_CHARGEABLE_CHANNEL&refId=yyx5Ya%2BB5PgB2UykXBD%2FQg%3D%3D&trackingId=maIxt0Zyy5Aef6EDplCrCg%3D%3D&trk=flagship3_search_srp_jobs,
Amazon,Large,Senior,"Java, C++, C#, cloud computing, distributed architecture","Experience with software development lifecycle, coding standards, system design, and production software; 3+ years in professional software development, Master's in computer science.",,https://www.linkedin.com/jobs/view/4059654997/?eBP=NON_CHARGEABLE_CHANNEL&refId=wiRcbTuEvl6gmhxMvoM5mw%3D%3D&trackingId=uOHNIuoDjueQ2CrY8mzxHQ%3D%3D&trk=flagship3_search_srp_jobs,
Amazon,Large,Senior,"Generative AI, machine learning, big data, AWS","PhD or Master's in CS/ML; experience with machine learning models, programming (Java, C++, Python), algorithms, data mining, and distributed computing.",,"Applied Scientist, Personalization | myGwork - LGBTQ+ Business Community | LinkedIn",
Avaloq,Large,Senior,"Software Engineering, system architecture, ads technology, distributed systems","Experience in Java, C++, or C# with OOP; ability to design large-scale, reliable software systems; experience in full SDLC, including coding, testing, and operations",,"Software Development Engineer, Amazon Ads | Amazon | LinkedIn",
Canonical,Large,Internship,"Software Engineering, distributed systems, optimization","Currently enrolled in Bachelor’s or Master’s in CS or related; knowledge of Java, C/C++, or Python; familiarity with algorithms, data structures, and problem-solving",,2025 Software Dev Engineer Intern - UK | Amazon | LinkedIn,
Canonical,Large,DevOps Engineer,"CI/CD, Jenkins, Java","Git, Automation, Backend",Competitive Salary + Benefits,https://www.linkedin.com/jobs/view/4055622142/?eBP=NON_CHARGEABLE_CHANNEL&refId=avR7kJmZclskRWgW93iRcQ%3D%3D&trackingId=hgNKh%2Fmeaoek7X3w46ipZA%3D%3D&trk=flagship3_search_srp_jobs,
