Name,Size,Job level,Technology,Requirements,Salary,Link
Evidently Me,,Intern,"React, Python, Java, C++","Debugging, Agile development, NLP, Analytical skills, Teamwork, Git, AWS, HTML, CSS, JavaScript",£500 pcm,https://www.linkedin.com/jobs/view/4050983722/?alternateChannel=search&refId=2D3KAoGUah7PYFu9txAB6w%3D%3D&trackingId=KLLY%2FymacLsofQQeKzhGAg%3D%3D&trk=d_flagship3_search_srp_jobs
Mastercard,,,,,,
Epic Games,10001+,Intern,"Python, Java, C#, JavaScript","Innovation, Risk-taking, Communication, Security awareness, Computer Science or Engineering background",,"Software Engineering Intern, Summer 2025 - London, UK-R-228723 | Mastercard | LinkedIn"
Amazon Web Services (AWS),1001-5000,Intern,"Typescript, SQL, NoSQL, AWS, NestJS","Team collaboration, Communication skills, English B2, Willingness to learn, Familiarity with backend development",,Backend Engineer Intern | Epic Games | LinkedIn
Jumpstart,10001+,Intern,"Java, Python, Ruby, Node.js, C#, C++","Cloud computing, Networking, Security, Storage, Databases, Operating Systems, Communication skills, Adaptability",,Associate Professional Services Consultant Intern 2025 | Amazon Web Services (AWS) | LinkedIn
Safe Intelligence,2 to 10,Junior,"Full-Stack Development, Product Mindset, Customer Impact","Entrepreneurial spirit, Startup experience, 1-5 years experience, Communication skills, Mentorship and community support",£40K/yr - £70K/yr,Junior Full-Stack Engineer | Jumpstart | LinkedIn
Ripple,2 to 10,Junior,"Python, Multiprocessing, pytest, Git, Machine Learning, NumPy, pandas, scikit-learn, PyTorch","Productization, Memory Management, Code Optimization, Communication skills, Continuous Learning",£45K/yr - £75K/yr + Stock Options,Python Engineer | Safe Intelligence | LinkedIn
Amazon,501-1000,Intern,"Python, C/C++, Rust, Go, Cryptography, Blockchain","Elliptic Curve Cryptography, Multi-party Computation, Privacy Technologies, Decentralized Technologies, Academic Research, Communication Skills",Competitive salary + bonuses + equity,Cryptography Research Engineer Intern (February - May 2025) | Ripple | LinkedIn
Client Server,10001+,Graduate,"Java, C/C++, Python","Software Engineering, Distributed Systems, Object-Oriented Design, Algorithms, Data Structures, Problem Solving",Competitive salary,2024 Graduate Software Dev Engineer | Amazon | LinkedIn
Instruct,51-200,Junior,"C#, SQL, Mathematics","Quantitative Finance, Sports Knowledge, Data Analysis, Trading Support, Collaborative Skills",£50K/yr - £65K/yr + Bonus,Quantitative Developer C# - Sports Betting | Client Server | LinkedIn
SITA,12 to 50,Backend,"Python, FastAPI, Flask, Django, SQL, AWS","Backend Development, API Design, Database Management, Cloud Services, AI Integration, Team Collaboration",Competitive salary + Equity options,Backend Developer | Instruct | LinkedIn
Red Eagle Tech,1001-5000,Solution Designer,"Network Security, LAN, Palo Alto, Cisco","Customer Requirement Analysis, Solution Design, Pre-sales Support, Technical Documentation, Communication Skills",Competitive salary + Bonus + Benefits,Solution Designer (Networks) | SITA | LinkedIn
Capua,2 to 10,Associate,".NET, C#, ASP.NET, Entity Framework, JavaScript, HTML, CSS","Software Development, UI Design, API Development, Debugging, Remote Team Collaboration","£28,000/yr (pro-rated for part-time) + Benefits",Associate Software Engineer .NET | Red Eagle Tech | LinkedIn
Bending Spoons,200,Graduate,"SaaS, Software Development, Agile, .NET, Python","Coding, Troubleshooting, Lifecycle Development, Cross-functional Collaboration","£50,000/yr",Graduate Software Engineer (Visa Sponsorship Available) | Capua | LinkedIn
Safe Intelligence,500,Software Engineer,"Backend, Data, Infrastructure, Mobile, Security","Production Code, Problem Solving, Team Spirit, Flexibility","€63,965 - €143,330/yr",Software Engineer | Bending Spoons | LinkedIn
Splitzy,10,Machine Learning Specialist (Finance),"Tabular Data, Python, Validation, ML Models, Neural Networks",,"£55,000 - £90,000/yr + Stock Options",Machine Learning Specialist (Finance) | Safe Intelligence | LinkedIn
Braid Technologies,8,Founding Frontend Developer (React Native),"React Native, TypeScript, Vite.js, Figma, REST APIs",,Competitive + Equity + Growth Potential,Founding Frontend Developer (React Native) | Splitzy | LinkedIn
Bending Spoons,5,Founding Software Engineer,"Python, React, Typescript, Node.js",,Competitive + Equity,Founding Software Engineer | Braid Technologies | LinkedIn
Tewke,"195,711",Junior Software Engineer,"Python, Typescript, Java, Kotlin, Swift",,"€63,965 to €143,330",Junior Software Engineer | Bending Spoons | LinkedIn
Robin AI,"1,339",Flutter Software Developer,"Flutter, Dart, Git, REST APIs",,,Flutter software developer | Tewke | LinkedIn
Quant Capital,51-200,Software Engineer,C++,"Legal AI, API integration, backend services",,"Join Robin AI's Talent Pool (London, New York, Singapore) | Robin AI | LinkedIn"
ION,2 to 10,Graduate,"VBA, Ruby, Go, Lua, Scala, Python, C++ or OO Language; Mathematics, Problem Solving, Applied Math, STEM Degree",,,Graduate Trading Desk Engineer | Quant Capital | LinkedIn
Blockchain.com,10001+,Intermediate,"SQL, UNIX/Linux, FIX Protocol, Analytical Problem Solving, Client Interaction, Financial Markets Knowledge",,,FIX Connectivity Engineer - 4592 | ION | LinkedIn
Blockchain.com,201-500,Intermediate,"Bitcoin Core, Ethereum, Grafana, InfluxDB, Prometheus, Hashicorp Nomad, Consul, Vault, Python, Golang, Linux, Terraform, GCP, GitOps, CI/CD, GitHub Actions","2+ years experience with blockchain nodes, experience with SRE best practices, CI/CD pipelines, infrastructure automation, deep understanding of blockchain consensus mechanics, monitoring and alerting setup, database management, Linux expertise, experience with containerization and orchestration",,Coin Nodes Engineer | Blockchain.com | LinkedIn
